Sensitivity Analysis 5,,,,
Scenarios,Capital,Direct,Labour,ENPV
1,0%,0%,0%,812255
2,0%,0%,25%,681298.75
3,0%,0%,50%,550342.5
4,0%,0%,75%,419386.25
5,0%,0%,100%,288430
6,0%,25%,0%,-104609
7,0%,25%,25%,-235565.25
8,0%,25%,50%,-366521.5
9,0%,25%,75%,-497477.75
10,0%,25%,100%,-628434
11,0%,50%,0%,-1021473
12,0%,50%,25%,-1152429.25
13,0%,50%,50%,-1283385.5
14,0%,50%,75%,-1414341.75
15,0%,50%,100%,-1545298
16,0%,75%,0%,-1938337
17,0%,75%,25%,-2069293.25
18,0%,75%,50%,-2200249.5
19,0%,75%,75%,-2331205.75
20,0%,75%,100%,-2462162
21,0%,100%,0%,-2855201
22,0%,100%,25%,-2986157.25
23,0%,100%,50%,-3117113.5
24,0%,100%,75%,-3248069.75
25,0%,100%,100%,-3379026
26,25%,0%,0%,653665.25
27,25%,0%,25%,533919
28,25%,0%,50%,414172.75
29,25%,0%,75%,294426.5
30,25%,0%,100%,174680.25
31,25%,25%,0%,-173209.9375
32,25%,25%,25%,-292956.1875
33,25%,25%,50%,-412702.4375
34,25%,25%,75%,-532448.6875
35,25%,25%,100%,-652194.9375
36,25%,50%,0%,-1000085.125
37,25%,50%,25%,-1119831.375
38,25%,50%,50%,-1239577.625
39,25%,50%,75%,-1359323.875
40,25%,50%,100%,-1479070.125
41,25%,75%,0%,-1826960.313
42,25%,75%,25%,-1946706.563
43,25%,75%,50%,-2066452.813
44,25%,75%,75%,-2186199.063
45,25%,75%,100%,-2305945.313
46,25%,100%,0%,-2653835.5
47,25%,100%,25%,-2773581.75
48,25%,100%,50%,-2893328
49,25%,100%,75%,-3013074.25
50,25%,100%,100%,-3132820.5
51,50%,0%,0%,516975.125
52,50%,0%,25%,407131.375
53,50%,0%,50%,297287.625
54,50%,0%,75%,187443.875
55,50%,0%,100%,77600.125
56,50%,25%,0%,-231213.0938
57,50%,25%,25%,-341056.8438
58,50%,25%,50%,-450900.5938
59,50%,25%,75%,-560744.3438
60,50%,25%,100%,-670588.0938
61,50%,50%,0%,-979401.3125
62,50%,50%,25%,-1089245.063
63,50%,50%,50%,-1199088.813
64,50%,50%,75%,-1308932.563
65,50%,50%,100%,-1418776.313
66,50%,75%,0%,-1727589.531
67,50%,75%,25%,-1837433.281
68,50%,75%,50%,-1947277.031
69,50%,75%,75%,-2057120.781
70,50%,75%,100%,-2166964.531
71,50%,100%,0%,-2475777.75
72,50%,100%,25%,-2585621.5
73,50%,100%,50%,-2695465.25
74,50%,100%,75%,-2805309
75,50%,100%,100%,-2915152.75
76,75%,0%,0%,399730.625
77,75%,0%,25%,298601.875
78,75%,0%,50%,197473.125
79,75%,0%,75%,96344.375
80,75%,0%,100%,-4784.375
81,75%,25%,0%,-279847.2188
82,75%,25%,25%,-380975.9688
83,75%,25%,50%,-482104.7188
84,75%,25%,75%,-583233.4688
85,75%,25%,100%,-684362.2188
86,75%,50%,0%,-959425.0625
87,75%,50%,25%,-1060553.813
88,75%,50%,50%,-1161682.563
89,75%,50%,75%,-1262811.313
90,75%,50%,100%,-1363940.063
91,75%,75%,0%,-1639002.906
92,75%,75%,25%,-1740131.656
93,75%,75%,50%,-1841260.406
94,75%,75%,75%,-1942389.156
95,75%,75%,100%,-2043517.906
96,75%,100%,0%,-2318580.75
97,75%,100%,25%,-2419709.5
98,75%,100%,50%,-2520838.25
99,75%,100%,75%,-2621967
100,75%,100%,100%,-2723095.75
101,100%,0%,0%,296045.125
102,100%,0%,25%,202726.375
103,100%,0%,50%,109407.625
104,100%,0%,75%,16088.875
105,100%,0%,100%,-77229.875
106,100%,25%,0%,-322389.8437
107,100%,25%,25%,-415708.5938
108,100%,25%,50%,-509027.3438
109,100%,25%,75%,-602346.0938
110,100%,25%,100%,-695664.8438
111,100%,50%,0%,-940824.8125
112,100%,50%,25%,-1034143.563
113,100%,50%,50%,-1127462.313
114,100%,50%,75%,-1220781.063
115,100%,50%,100%,-1314099.813
116,100%,75%,0%,-1559259.781
117,100%,75%,25%,-1652578.531
118,100%,75%,50%,-1745897.281
119,100%,75%,75%,-1839216.031
120,100%,75%,100%,-1932534.781
121,100%,100%,0%,-2177694.75
122,100%,100%,25%,-2271013.5
123,100%,100%,50%,-2364332.25
124,100%,100%,75%,-2457651
125,100%,100%,100%,-2550969.75
